Product_SKU,Product_Description,Product_Category,Avg_Price
GGOEA0CH077599,Android Hard Cover Journal,Notebooks & Journals,15.46
GGOEAAAB034813,Android BTTF Cosmos Graphic Tee,Apparel,19.99
GGOEAAAB034814,Android BTTF Cosmos Graphic Tee,Apparel,19.99
GGOEAAAB034815,Android BTTF Cosmos Graphic Tee,Apparel,20.62
GGOEAAAB034816,Android BTTF Cosmos Graphic Tee,Apparel,20.62
GGOEAAAB034817,Android BTTF Cosmos Graphic Tee,Apparel,19.99
GGOEAAAB034913,Android BTTF Moonshot Graphic Tee,Apparel,19.99
GGOEAAAB034914,Android BTTF Moonshot Graphic Tee,Apparel,20.62
GGOEAAAB034915,Android BTTF Moonshot Graphic Tee,Apparel,19.99
GGOEAAAB034916,Android BTTF Moonshot Graphic Tee,Apparel,19.99
GGOEAAAB034917,Android BTTF Moonshot Graphic Tee,Apparel,19.99
GGOEAAAB081013,Android Men's Outerstellar Short Sleeve Tee Black,Apparel,19.99
GGOEAAAB081014,Android Men's Outerstellar Short Sleeve Tee Black,Apparel,19.99
GGOEAAAB081015,Android Men's Outerstellar Short Sleeve Tee Black,Apparel,20.62
GGOEAAAB081016,Android Men's Outerstellar Short Sleeve Tee Black,Apparel,19.99
GGOEAAAB081017,Android Men's Outerstellar Short Sleeve Tee Black,Apparel,20.62
GGOEAAAC080913,Android Lifted Men's Short Sleeve Tee Blue,Apparel,19.99
GGOEAAAC080914,Android Lifted Men's Short Sleeve Tee Blue,Apparel,19.99
GGOEAAAC080915,Android Lifted Men's Short Sleeve Tee Blue,Apparel,19.99
GGOEAAAC080916,Android Lifted Men's Short Sleeve Tee Blue,Apparel,19.99
GGOEAAAC080917,Android Lifted Men's Short Sleeve Tee Blue,Apparel,20.62
GGOEAAAH083313,Android Men's Paradise Short Sleeve Tee Olive,Android,19.99
GGOEAAAH083314,Android Men's Paradise Short Sleeve Tee Olive,Android,20.62
GGOEAAAH083315,Android Men's Paradise Short Sleeve Tee Olive,Android,19.99
GGOEAAAH083316,Android Men's Paradise Short Sleeve Tee Olive,Android,15.99
GGOEAAAH083317,Android Men's Paradise Short Sleeve Tee Olive,Android,13.99
GGOEAAAJ031913,Android Men's Short Sleeve Hero Tee Heather,Apparel,18.99
GGOEAAAJ031914,Android Men's Short Sleeve Hero Tee Heather,Apparel,18.99
GGOEAAAJ031915,Android Men's Short Sleeve Hero Tee Heather,Apparel,18.99
GGOEAAAJ031916,Android Men's Short Sleeve Hero Tee Heather,Apparel,18.99
GGOEAAAJ031917,Android Men's Short Sleeve Hero Tee Heather,Apparel,19.59
GGOEAAAJ032413,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Apparel,18.99
GGOEAAAJ032414,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Apparel,19.59
GGOEAAAJ032415,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Apparel,19.59
GGOEAAAJ032416,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Apparel,19.59
GGOEAAAJ032417,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Apparel,19.59
GGOEAAAJ032913,Android Men's Long & Lean Badge Tee Charcoal,Apparel,19.99
GGOEAAAJ032914,Android Men's Long & Lean Badge Tee Charcoal,Apparel,19.99
GGOEAAAJ032915,Android Men's Skater Badge Tee Charcoal,Apparel,19.99
GGOEAAAJ032916,Android Men's Long & Lean Badge Tee Charcoal,Apparel,19.99
GGOEAAAJ032917,Android Men's Long & Lean Badge Tee Charcoal,Apparel,13.99
GGOEAAAJ034513,Android Men's Vintage Tee,Apparel,18.99
GGOEAAAJ034514,Android Men's Vintage Tee,Apparel,18.99
GGOEAAAJ034515,Android Men's Vintage Tee,Apparel,18.99
